date,ticket_revenue,hotel_occupancy_rate,hotel_revenue,dining_revenue,retail_revenue,total_revenue
2025-08-01,0,0.0,0,0,0,0
2025-08-02,0,0.0,0,0,0,0
2025-08-03,0,0.0,0,0,0,0
2025-08-04,0,0.0,0,0,0,0
2025-08-05,0,0.0,0,0,0,0
2025-08-06,0,0.0,0,0,0,0
2025-08-07,0,0.0,0,0,0,0
2025-08-08,0,0.0,0,0,0,0
2025-08-09,0,0.0,0,0,0,0
2025-08-10,0,0.0,0,0,0,0
2025-08-11,0,0.0,0,0,0,0
2025-08-12,0,0.0,0,0,0,0
2025-08-13,0,0.0,0,0,0,0
2025-08-14,0,0.0,0,0,0,0
2025-08-15,0,0.0,0,0,0,0
2025-08-16,0,0.0,0,0,0,0
2025-08-17,0,0.0,0,0,0,0
2025-08-18,0,0.0,0,0,0,0
2025-08-19,0,0.0,0,0,0,0
2025-08-20,0,0.0,0,0,0,0
2025-08-21,0,0.0,0,0,0,0
2025-08-22,0,0.0,0,0,0,0
2025-08-23,0,0.0,0,0,0,0
2025-08-24,0,0.0,0,0,0,0
2025-08-25,0,0.0,0,0,0,0
2025-08-26,0,0.0,0,0,0,0
2025-08-27,0,0.0,0,0,0,0
2025-08-28,0,0.0,0,0,0,0
2025-08-29,0,0.0,0,0,0,0
2025-08-30,0,0.0,0,0,0,0
2025-08-31,0,0.0,0,0,0,0
2025-09-01,0,0.0,0,0,0,0
2025-09-02,0,0.0,0,0,0,0
2025-09-03,0,0.0,0,0,0,0
2025-09-04,0,0.0,0,0,0,0
2025-09-05,0,0.0,0,0,0,0
2025-09-06,0,0.0,0,0,0,0
2025-09-07,0,0.0,0,0,0,0
2025-09-08,0,0.0,0,0,0,0
2025-09-09,0,0.0,0,0,0,0
2025-09-10,0,0.0,0,0,0,0
2025-09-11,0,0.0,0,0,0,0
2025-09-12,0,0.0,0,0,0,0
2025-09-13,0,0.0,0,0,0,0
2025-09-14,0,0.0,0,0,0,0
2025-09-15,0,0.0,0,0,0,0
2025-09-16,0,0.0,0,0,0,0
2025-09-17,0,0.0,0,0,0,0
2025-09-18,0,0.0,0,0,0,0
2025-09-19,0,0.0,0,0,0,0
2025-09-20,0,0.0,0,0,0,0
2025-09-21,0,0.0,0,0,0,0
2025-09-22,0,0.0,0,0,0,0
2025-09-23,0,0.0,0,0,0,0
2025-09-24,0,0.0,0,0,0,0
2025-09-25,0,0.0,0,0,0,0
2025-09-26,0,0.0,0,0,0,0
2025-09-27,0,0.0,0,0,0,0
2025-09-28,0,0.0,0,0,0,0
2025-09-29,0,0.0,0,0,0,0
2025-09-30,0,0.0,0,0,0,0
2025-10-01,0,0.0,0,0,0,0
2025-10-02,0,0.0,0,0,0,0
2025-10-03,0,0.0,0,0,0,0
2025-10-04,0,0.0,0,0,0,0
2025-10-05,0,0.0,0,0,0,0
2025-10-06,0,0.0,0,0,0,0
2025-10-07,0,0.0,0,0,0,0
2025-10-08,0,0.0,0,0,0,0
2025-10-09,0,0.0,0,0,0,0
2025-10-10,0,0.0,0,0,0,0
2025-10-11,0,0.0,0,0,0,0
2025-10-12,0,0.0,0,0,0,0
2025-10-13,0,0.0,0,0,0,0
2025-10-14,0,0.0,0,0,0,0
2025-10-15,0,0.0,0,0,0,0
2025-10-16,0,0.0,0,0,0,0
2025-10-17,0,0.0,0,0,0,0
2025-10-18,0,0.0,0,0,0,0
2025-10-19,0,0.0,0,0,0,0
2025-10-20,0,0.0,0,0,0,0
2025-10-21,0,0.0,0,0,0,0
2025-10-22,0,0.0,0,0,0,0
2025-10-23,0,0.0,0,0,0,0
2025-10-24,0,0.0,0,0,0,0
2025-10-25,0,0.0,0,0,0,0
2025-10-26,0,0.0,0,0,0,0
2025-10-27,0,0.0,0,0,0,0
2025-10-28,0,0.0,0,0,0,0
2025-10-29,0,0.0,0,0,0,0
2025-10-30,0,0.0,0,0,0,0
2025-10-31,0,0.0,0,0,0,0
2025-11-01,2324469,0.5707,388895,636293,439659,3789316
2025-11-02,1580469,0.5281,406476,837573,358438,3182956
2025-11-03,1649560,0.5153,420873,572344,436899,3079676
2025-11-04,1242633,0.5015,282077,604025,322701,2451436
2025-11-05,1487956,0.5025,396680,337657,238009,2460302
2025-11-06,1292659,0.5082,334211,581285,218312,2426467
2025-11-07,1130264,0.5257,304224,563996,449193,2447677
2025-11-08,1688050,0.5301,352130,851803,559983,3451966
2025-11-09,2307318,0.5668,336131,965716,671159,4280324
2025-11-10,1307572,0.5322,402388,343933,304472,2358365
2025-11-11,1506935,0.4933,408106,379045,460333,2754419
2025-11-12,1536709,0.4926,403404,684438,402678,3027229
2025-11-13,1191568,0.4888,323463,378740,343068,2236839
2025-11-14,1875478,0.5284,427571,625111,399708,3327868
2025-11-15,2204185,0.5383,432371,573350,323518,3533424
2025-11-16,2016870,0.5376,434889,835025,263441,3550225
2025-11-17,1567154,0.5151,378722,674726,318621,2939223
2025-11-18,1417319,0.5268,314837,605275,392061,2729492
2025-11-19,1601643,0.5038,297383,483340,213546,2595912
2025-11-20,1908949,0.4974,383485,580527,364393,3237354
2025-11-21,1080716,0.5172,374381,377768,461060,2293925
2025-11-22,1908316,0.5425,386397,501474,745859,3542046
2025-11-23,2007646,0.5225,349260,797625,548167,3702698
2025-11-24,1401050,0.4838,309473,571102,201710,2483335
2025-11-25,1591130,0.4905,389283,439996,398377,2818786
2025-11-26,1472674,0.5025,311782,425142,357929,2567527
2025-11-27,1404351,0.52,406204,549730,395575,2755860
2025-11-28,1322408,0.5118,346010,607190,261413,2537021
2025-11-29,1562811,0.5481,338007,878099,661460,3440377
2025-11-30,1592396,0.5142,359244,722156,383014,3056810
2025-12-01,0,0.0,0,0,0,0
2025-12-02,0,0.0,0,0,0,0
2025-12-03,0,0.0,0,0,0,0
2025-12-04,0,0.0,0,0,0,0
2025-12-05,0,0.0,0,0,0,0
2025-12-06,0,0.0,0,0,0,0
2025-12-07,0,0.0,0,0,0,0
2025-12-08,0,0.0,0,0,0,0
2025-12-09,0,0.0,0,0,0,0
2025-12-10,0,0.0,0,0,0,0
2025-12-11,0,0.0,0,0,0,0
2025-12-12,0,0.0,0,0,0,0
2025-12-13,0,0.0,0,0,0,0
2025-12-14,0,0.0,0,0,0,0
2025-12-15,0,0.0,0,0,0,0
2025-12-16,0,0.0,0,0,0,0
2025-12-17,0,0.0,0,0,0,0
2025-12-18,0,0.0,0,0,0,0
2025-12-19,0,0.0,0,0,0,0
2025-12-20,0,0.0,0,0,0,0
2025-12-21,0,0.0,0,0,0,0
2025-12-22,0,0.0,0,0,0,0
2025-12-23,0,0.0,0,0,0,0
2025-12-24,2511493,0.8666,788734,1072937,526570,4899734
2025-12-25,2942456,0.8503,1062177,1297931,702374,6004938
2025-12-26,2854148,0.9055,884507,1489418,663772,5891845
2025-12-27,3665814,0.781,909607,1425024,1013755,7014200
2025-12-28,5090452,0.8659,1101118,1714546,2152269,10058385
2025-12-29,3372065,0.8923,831925,1751018,1365065,7320073
2025-12-30,3727071,0.8999,1116940,1319557,1120475,7284043
